INFO 2025-03-19 15:16:27,518 basehttp 2496 13652 "GET /static/admin/js/change_form.js HTTP/1.1" 200 606
INFO 2025-03-19 15:16:38,092 basehttp 2496 13652 "GET /admin/ai/facedetection/ HTTP/1.1" 200 24568
INFO 2025-03-19 15:18:36,173 basehttp 2496 19780 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 15:18:36,182 log 2496 19780 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 15:18:36,182 basehttp 2496 19780 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 15:18:58,335 basehttp 2496 19780 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 15:18:58,342 log 2496 19780 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 15:18:58,342 basehttp 2496 19780 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 15:22:08,978 basehttp 2496 19780 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 15:22:08,986 log 2496 19780 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 15:22:08,987 basehttp 2496 19780 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 15:22:15,662 basehttp 2496 19780 "POST /api/v1/users/login/ HTTP/1.1" 200 751
WARNING 2025-03-19 15:22:15,667 log 2496 19780 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 15:22:15,667 basehttp 2496 19780 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 15:23:28,632 basehttp 2496 19780 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 15:23:28,638 log 2496 19780 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 15:23:28,639 basehttp 2496 19780 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 15:23:34,295 basehttp 2496 19780 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 15:23:34,301 log 2496 19780 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 15:23:34,302 basehttp 2496 19780 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 15:23:46,917 basehttp 2496 19780 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 15:23:46,926 log 2496 19780 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 15:23:46,927 basehttp 2496 19780 "GET /api/v1/users/users/me/ HTTP/1.1" 401 172
INFO 2025-03-19 15:33:28,065 autoreload 12088 10632 Watching for file changes with StatReloader
INFO 2025-03-19 15:34:25,797 basehttp 12088 20396 "POST /api/v1/users/login/ HTTP/1.1" 200 755
INFO 2025-03-19 15:34:25,803 basehttp 12088 20396 "OPTIONS /api/v1/users/users/me/?headers[Authorization]=Bearer+undefined HTTP/1.1" 200 0
WARNING 2025-03-19 15:34:25,805 log 12088 20396 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 15:34:25,805 basehttp 12088 20396 "GET /api/v1/users/users/me/?headers[Authorization]=Bearer+undefined HTTP/1.1" 401 172
INFO 2025-03-19 15:34:34,439 basehttp 12088 20396 "POST /api/v1/users/login/ HTTP/1.1" 200 755
WARNING 2025-03-19 15:34:34,445 log 12088 20396 Unauthorized: /api/v1/users/users/me/
WARNING 2025-03-19 15:34:34,446 basehttp 12088 20396 "GET /api/v1/users/users/me/?headers[Authorization]=Bearer+undefined HTTP/1.1" 401 172
WARNING 2025-03-19 15:36:45,966 log 12088 17664 Unauthorized: /api/v1/users/login/
WARNING 2025-03-19 15:36:45,967 basehttp 12088 17664 "POST /api/v1/users/login/ HTTP/1.1" 401 172
WARNING 2025-03-19 15:36:52,378 log 12088 17664 Unauthorized: /api/v1/users/login/
WARNING 2025-03-19 15:36:52,378 basehttp 12088 17664 "POST /api/v1/users/login/ HTTP/1.1" 401 172
INFO 2025-03-19 15:38:28,528 basehttp 12088 1528 "POST /api/v1/users/login/ HTTP/1.1" 200 751
WARNING 2025-03-19 15:39:25,361 log 12088 17664 Unauthorized: /api/v1/users/login/
WARNING 2025-03-19 15:39:25,362 basehttp 12088 17664 "POST /api/v1/users/login/ HTTP/1.1" 401 172
INFO 2025-03-19 15:39:37,716 basehttp 12088 17664 "POST /api/v1/users/login/ HTTP/1.1" 200 755
INFO 2025-03-19 15:39:37,754 basehttp 12088 17664 "GET /api/v1/users/users/me/ HTTP/1.1" 200 264
